N=25: T=0.671875
N=30: T=0.8125
N=35: T=0.890625
N=40: T=0.96875
N=45: T=1.0
N=50: T=1.015625
N=55: T=1.140625
N=60: T=1.15625
N=65: T=1.1875
N=70: T=1.265625
N=75: T=1.28125
N=80: T=1.328125
N=85: T=1.34375
N=90: T=1.421875
N=95: T=1.4375
N=100: T=1.484375
N=105: T=1.515625
N=110: T=1.515625
N=115: T=1.5625
N=120: T=1.578125
N=125: T=1.59375
N=130: T=1.625
N=135: T=1.671875
N=140: T=1.6875
N=145: T=1.6875
N=150: T=1.765625
N=155: T=1.765625
N=160: T=1.796875
N=165: T=1.84375
N=170: T=1.84375
N=175: T=1.875
N=180: T=1.875
N=185: T=1.890625
N=190: T=1.90625
N=195: T=1.96875
