N=25: T=0.96875
N=30: T=1.078125
N=35: T=1.21875
N=40: T=1.375
N=45: T=1.5
N=50: T=1.59375
N=55: T=1.796875
N=60: T=1.921875
N=65: T=2.078125
N=70: T=2.171875
N=75: T=2.328125
N=80: T=2.484375
N=85: T=2.578125
N=90: T=2.78125
N=95: T=2.890625
N=100: T=3.015625
N=105: T=3.15625
N=110: T=3.296875
N=115: T=3.484375
N=120: T=3.578125
N=125: T=3.671875
N=130: T=3.875
N=135: T=4.0
N=140: T=4.109375
N=145: T=4.28125
N=150: T=4.390625
N=155: T=4.5625
N=160: T=4.65625
N=165: T=4.8125
N=170: T=4.9375
N=175: T=5.09375
N=180: T=5.203125
N=185: T=5.359375
N=190: T=5.4375
N=195: T=5.640625
