N=25: T=0.75
N=30: T=0.859375
N=35: T=0.90625
N=40: T=0.953125
N=45: T=1.046875
N=50: T=1.109375
N=55: T=1.234375
N=60: T=1.28125
N=65: T=1.359375
N=70: T=1.4375
N=75: T=1.484375
N=80: T=1.5625
N=85: T=1.640625
N=90: T=1.6875
N=95: T=1.78125
N=100: T=1.875
N=105: T=1.921875
N=110: T=2.015625
N=115: T=2.0625
N=120: T=2.140625
N=125: T=2.21875
N=130: T=2.3125
N=135: T=2.328125
N=140: T=2.40625
N=145: T=2.5
N=150: T=2.5625
N=155: T=2.640625
N=160: T=2.71875
N=165: T=2.765625
N=170: T=2.875
N=175: T=2.921875
N=180: T=2.96875
N=185: T=3.09375
N=190: T=3.140625
N=195: T=3.234375
